0.000000e+00 0.000000e+00 7.671805e-03
6.251926e-02 6.247854e-02 7.012790e-02
1.250385e-01 1.247129e-01 1.323100e-01
1.875578e-01 1.864601e-01 1.939751e-01
2.500770e-01 2.474786e-01 2.548822e-01
3.125963e-01 3.075301e-01 3.147935e-01
3.751155e-01 3.663800e-01 3.734747e-01
4.376348e-01 4.237984e-01 4.306966e-01
5.001541e-01 4.795607e-01 4.862356e-01
5.626733e-01 5.334493e-01 5.398747e-01
6.251926e-01 5.852534e-01 5.914043e-01
6.877118e-01 6.347708e-01 6.406230e-01
7.502311e-01 6.818078e-01 6.873386e-01
8.127503e-01 7.261808e-01 7.313685e-01
8.752696e-01 7.677163e-01 7.725407e-01
9.377889e-01 8.062520e-01 8.106942e-01
1.000308e+00 8.416374e-01 8.456801e-01
1.062827e+00 8.737342e-01 8.773615e-01
1.125347e+00 9.024170e-01 9.056148e-01
1.187866e+00 9.275737e-01 9.303295e-01
1.250385e+00 9.491060e-01 9.514090e-01
1.312904e+00 9.669298e-01 9.687710e-01
1.375424e+00 9.809754e-01 9.823477e-01
1.437943e+00 9.911880e-01 9.920859e-01
1.500462e+00 9.975276e-01 9.979477e-01
1.562981e+00 9.999695e-01 9.999101e-01
1.625501e+00 9.985041e-01 9.979655e-01
1.688020e+00 9.931372e-01 9.921214e-01
1.750539e+00 9.838897e-01 9.824007e-01
1.813058e+00 9.707978e-01 9.688415e-01
1.875578e+00 9.539126e-01 9.514966e-01
1.938097e+00 9.333001e-01 9.304338e-01
2.000616e+00 9.090408e-01 9.057354e-01
2.063135e+00 8.812296e-01 8.774980e-01
2.125655e+00 8.499750e-01 8.458319e-01
2.188174e+00 8.153993e-01 8.108608e-01
2.250693e+00 7.776375e-01 7.727214e-01
2.313213e+00 7.368372e-01 7.315626e-01
2.375732e+00 6.931578e-01 6.875453e-01
2.438251e+00 6.467699e-01 6.408416e-01
2.500770e+00 5.978549e-01 5.916338e-01
2.563290e+00 5.466038e-01 5.401142e-01
2.625809e+00 4.932169e-01 4.864843e-01
2.688328e+00 4.379028e-01 4.309534e-01
2.750847e+00 3.808777e-01 3.737387e-01
2.813367e+00 3.223643e-01 3.150636e-01
2.875886e+00 2.625914e-01 2.551575e-01
2.938405e+00 2.017924e-01 1.942543e-01
3.000924e+00 1.402049e-01 1.325921e-01
3.063444e+00 7.806955e-02 7.041184e-02
